Table Name,ax_jesd_comp_param_lut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Description,JESD compression parameters and register settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single entry bitwidth,32*35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base type bit layout,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
,0,,0x12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x1f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0xa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0xf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0x2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,1,0,1,1,1,4,,,7,,,,0x0306f,,,,,,,,,,,,,,,,,,,
,1,,0x1000200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x1f3f4936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x1f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0xf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,1,0,1,0,0,3,,,8,,,,0x2007f,,,,,,,,,,,,,,,,,,,
,2,,0x100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x1f3f4a35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x1f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0xf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,1,0,0,1,1,3,,,13,,,,0xa7,,,,,,,,,,,,,,,,,,,
,3,,0x5000200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x7f004c26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0xa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0xe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0x1f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,1,0,0,1,0,4,,,8,,,,0x3067,,,,,,,,,,,,,,,,,,,
,4,,0x5000200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x1f004826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x1f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0xf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,0x25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
